"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 13 15:44:47 BRT 2021","Wed Jan 13 15:44:51 BRT 2021","3844","","Validacao","","","","Realize o login na landing page",""
"passed","Wed Jan 13 15:44:51 BRT 2021","Wed Jan 13 15:44:52 BRT 2021","380","","Validacao","","","","devem poder adicionar item ao carrinho",""
"passed","Wed Jan 13 15:44:51 BRT 2021","Wed Jan 13 15:44:51 BRT 2021","351","","Validacao","","","","devem poder realizar um login no sistema",""
"passed","Wed Jan 13 15:44:52 BRT 2021","Wed Jan 13 15:44:52 BRT 2021","690","","Validacao","","","","Ordenar produtos por valores crescente",""
